,Date,Time,No. of Transactions
818,2019-01-24,16:30:00,47
819,2019-01-24,16:45:00,27
820,2019-01-24,17:00:00,34
821,2019-01-24,17:15:00,31
822,2019-01-24,17:30:00,35
823,2019-01-24,17:45:00,17
824,2019-01-24,18:00:00,14
825,2019-01-24,18:15:00,14
826,2019-01-24,18:30:00,18
827,2019-01-24,18:45:00,10
828,2019-01-24,19:00:00,6
829,2019-01-24,19:15:00,5
830,2019-01-24,19:30:00,5
831,2019-01-24,19:45:00,6
832,2019-01-24,20:00:00,7
833,2019-01-24,20:15:00,6
834,2019-01-24,20:30:00,7
835,2019-01-24,20:45:00,7
836,2019-01-25,07:00:00,5
837,2019-01-25,07:15:00,7
838,2019-01-25,07:30:00,13
839,2019-01-25,07:45:00,17
840,2019-01-25,08:00:00,28
841,2019-01-25,08:15:00,19
842,2019-01-25,08:30:00,19
843,2019-01-25,08:45:00,23
844,2019-01-25,09:00:00,29
845,2019-01-25,09:15:00,78
846,2019-01-25,09:30:00,47
847,2019-01-25,09:45:00,42
848,2019-01-25,10:00:00,52
849,2019-01-25,10:15:00,76
850,2019-01-25,10:30:00,87
851,2019-01-25,10:45:00,46
852,2019-01-25,11:00:00,56
853,2019-01-25,11:15:00,63
854,2019-01-25,11:30:00,88
855,2019-01-25,11:45:00,59
856,2019-01-25,12:00:00,69
857,2019-01-25,12:15:00,74
858,2019-01-25,12:30:00,97
859,2019-01-25,12:45:00,66
860,2019-01-25,13:00:00,62
861,2019-01-25,13:15:00,80
862,2019-01-25,13:30:00,60
863,2019-01-25,13:45:00,51
864,2019-01-25,14:00:00,44
865,2019-01-25,14:15:00,57
866,2019-01-25,14:30:00,54
867,2019-01-25,14:45:00,6
868,2019-01-25,15:00:00,20
869,2019-01-25,15:15:00,49
870,2019-01-25,15:30:00,37
871,2019-01-25,15:45:00,34
872,2019-01-25,16:00:00,23
873,2019-01-25,16:15:00,26
874,2019-01-25,16:30:00,25
875,2019-01-25,16:45:00,26
876,2019-01-25,17:00:00,25
877,2019-01-25,17:15:00,24
878,2019-01-25,17:30:00,7
879,2019-01-25,17:45:00,10
880,2019-01-25,18:00:00,15
881,2019-01-25,18:15:00,13
882,2019-01-25,18:30:00,8
883,2019-01-25,18:45:00,9
884,2019-01-25,19:00:00,6
885,2019-01-25,19:15:00,5
886,2019-01-25,19:45:00,4
887,2019-01-25,20:00:00,4
888,2019-01-25,20:30:00,1
889,2019-01-26,07:30:00,2
890,2019-01-26,08:15:00,3
891,2019-01-26,08:30:00,1
892,2019-01-26,08:45:00,2
893,2019-01-26,09:00:00,2
894,2019-01-26,09:15:00,1
895,2019-01-26,09:30:00,1
896,2019-01-26,09:45:00,9
897,2019-01-26,10:00:00,2
898,2019-01-26,10:15:00,6
899,2019-01-26,10:30:00,4
900,2019-01-26,10:45:00,4
901,2019-01-26,11:00:00,5
902,2019-01-26,11:15:00,7
903,2019-01-26,11:30:00,7
904,2019-01-26,11:45:00,12
905,2019-01-26,12:00:00,15
906,2019-01-26,12:15:00,18
907,2019-01-26,12:30:00,21
908,2019-01-26,12:45:00,17
909,2019-01-26,13:00:00,14
910,2019-01-26,13:15:00,12
911,2019-01-26,13:30:00,13
912,2019-01-26,13:45:00,12
913,2019-01-26,14:00:00,11
914,2019-01-26,14:15:00,12
915,2019-01-26,14:30:00,14
916,2019-01-26,14:45:00,12
917,2019-01-26,15:00:00,8
918,2019-01-26,15:15:00,7
919,2019-01-26,15:30:00,13
920,2019-01-26,15:45:00,16
921,2019-01-26,16:00:00,17
922,2019-01-26,16:15:00,7
923,2019-01-26,16:30:00,12
924,2019-01-26,16:45:00,11
925,2019-01-26,17:00:00,11
926,2019-01-26,17:15:00,13
927,2019-01-26,17:30:00,2
928,2019-01-26,17:45:00,4
929,2019-01-26,18:00:00,6
930,2019-01-26,18:15:00,2
931,2019-01-26,18:30:00,3
932,2019-01-26,18:45:00,7
933,2019-01-26,19:00:00,6
934,2019-01-26,19:15:00,8
935,2019-01-26,19:30:00,3
936,2019-01-26,19:45:00,5
937,2019-01-26,20:00:00,1
938,2019-01-26,20:15:00,3
939,2019-01-26,20:30:00,1
940,2019-01-26,20:45:00,1
941,2019-01-28,06:45:00,3
942,2019-01-28,07:00:00,3
943,2019-01-28,07:15:00,17
944,2019-01-28,07:30:00,20
945,2019-01-28,07:45:00,29
946,2019-01-28,08:00:00,29
947,2019-01-28,08:15:00,22
948,2019-01-28,08:30:00,21
949,2019-01-28,08:45:00,24
950,2019-01-28,09:00:00,31
951,2019-01-28,09:15:00,85
952,2019-01-28,09:30:00,62
953,2019-01-28,09:45:00,50
954,2019-01-28,10:00:00,51
955,2019-01-28,10:15:00,74
956,2019-01-28,10:30:00,78
957,2019-01-28,10:45:00,47
958,2019-01-28,11:00:00,71
959,2019-01-28,11:15:00,72
960,2019-01-28,11:30:00,82
961,2019-01-28,11:45:00,67
962,2019-01-28,12:00:00,87
963,2019-01-28,12:15:00,99
964,2019-01-28,12:30:00,109
965,2019-01-28,12:45:00,69
966,2019-01-28,13:00:00,68
967,2019-01-28,13:15:00,87
968,2019-01-28,13:30:00,58
969,2019-01-28,13:45:00,67
970,2019-01-28,14:00:00,68
971,2019-01-28,14:15:00,65
972,2019-01-28,14:30:00,72
973,2019-01-28,14:45:00,57
974,2019-01-28,15:00:00,63
975,2019-01-28,15:15:00,61
976,2019-01-28,15:30:00,51
977,2019-01-28,15:45:00,39
978,2019-01-28,16:00:00,47
979,2019-01-28,16:15:00,57
980,2019-01-28,16:30:00,33
981,2019-01-28,16:45:00,25
982,2019-01-28,17:00:00,24
983,2019-01-28,17:15:00,43
984,2019-01-28,17:30:00,28
985,2019-01-28,17:45:00,14
986,2019-01-28,18:00:00,13
987,2019-01-28,18:15:00,11
988,2019-01-28,18:30:00,8
989,2019-01-28,18:45:00,10
990,2019-01-28,19:00:00,13
991,2019-01-28,19:15:00,5
992,2019-01-28,19:30:00,7
993,2019-01-28,19:45:00,6
994,2019-01-28,20:00:00,5
995,2019-01-28,20:15:00,4
996,2019-01-28,20:30:00,3
997,2019-01-28,20:45:00,4
998,2019-01-29,06:30:00,3
999,2019-01-29,07:00:00,4
1000,2019-01-29,07:15:00,6
1001,2019-01-29,07:30:00,10
1002,2019-01-29,07:45:00,16
1003,2019-01-29,08:00:00,43
1004,2019-01-29,08:15:00,29
1005,2019-01-29,08:30:00,17
1006,2019-01-29,08:45:00,29
1007,2019-01-29,09:00:00,31
1008,2019-01-29,09:15:00,68
1009,2019-01-29,09:30:00,68
1010,2019-01-29,09:45:00,68
1011,2019-01-29,10:00:00,79
1012,2019-01-29,10:15:00,90
1013,2019-01-29,10:30:00,81
1014,2019-01-29,10:45:00,53
1015,2019-01-29,11:00:00,61
1016,2019-01-29,11:15:00,72
1017,2019-01-29,11:30:00,107
1018,2019-01-29,11:45:00,72
1019,2019-01-29,12:00:00,85
1020,2019-01-29,12:15:00,101
1021,2019-01-29,12:30:00,105
1022,2019-01-29,12:45:00,86
1023,2019-01-29,13:00:00,73
1024,2019-01-29,13:15:00,78
1025,2019-01-29,13:30:00,79
1026,2019-01-29,13:45:00,56
1027,2019-01-29,14:00:00,65
1028,2019-01-29,14:15:00,64
1029,2019-01-29,14:30:00,55
1030,2019-01-29,14:45:00,46
1031,2019-01-29,15:00:00,55
1032,2019-01-29,15:15:00,77
1033,2019-01-29,15:30:00,68
1034,2019-01-29,15:45:00,42
1035,2019-01-29,16:00:00,46
1036,2019-01-29,16:15:00,44
1037,2019-01-29,16:30:00,43
1038,2019-01-29,16:45:00,45
1039,2019-01-29,17:00:00,30
1040,2019-01-29,17:15:00,37
1041,2019-01-29,17:30:00,30
1042,2019-01-29,17:45:00,24
1043,2019-01-29,18:00:00,20
1044,2019-01-29,18:15:00,22
1045,2019-01-29,18:30:00,20
1046,2019-01-29,18:45:00,14
1047,2019-01-29,19:00:00,9
1048,2019-01-29,19:15:00,5
1049,2019-01-29,19:30:00,2
1050,2019-01-29,19:45:00,9
1051,2019-01-29,20:00:00,7
1052,2019-01-29,20:15:00,9
1053,2019-01-29,20:30:00,3
1054,2019-01-30,06:45:00,4
1055,2019-01-30,07:00:00,6
1056,2019-01-30,07:15:00,9
1057,2019-01-30,07:30:00,18
1058,2019-01-30,07:45:00,20
1059,2019-01-30,08:00:00,24
1060,2019-01-30,08:15:00,21
1061,2019-01-30,08:30:00,25
1062,2019-01-30,08:45:00,35
1063,2019-01-30,09:00:00,34
1064,2019-01-30,09:15:00,67
1065,2019-01-30,09:30:00,71
1066,2019-01-30,09:45:00,49
1067,2019-01-30,10:00:00,72
1068,2019-01-30,10:15:00,96
1069,2019-01-30,10:30:00,100
1070,2019-01-30,10:45:00,53
1071,2019-01-30,11:00:00,71
1072,2019-01-30,11:15:00,70
1073,2019-01-30,11:30:00,113
1074,2019-01-30,11:45:00,74
1075,2019-01-30,12:00:00,71
1076,2019-01-30,12:15:00,72
1077,2019-01-30,12:30:00,97
1078,2019-01-30,12:45:00,82
1079,2019-01-30,13:00:00,66
1080,2019-01-30,13:15:00,87
1081,2019-01-30,13:30:00,85
1082,2019-01-30,13:45:00,66
1083,2019-01-30,14:00:00,60
1084,2019-01-30,14:15:00,61
1085,2019-01-30,14:30:00,57
1086,2019-01-30,14:45:00,46
1087,2019-01-30,15:00:00,58
1088,2019-01-30,15:15:00,56
1089,2019-01-30,15:30:00,61
1090,2019-01-30,15:45:00,38
1091,2019-01-30,16:00:00,36
1092,2019-01-30,16:15:00,46
1093,2019-01-30,16:30:00,49
1094,2019-01-30,16:45:00,43
1095,2019-01-30,17:00:00,42
1096,2019-01-30,17:15:00,36
1097,2019-01-30,17:30:00,52
1098,2019-01-30,17:45:00,32
1099,2019-01-30,18:00:00,21
1100,2019-01-30,18:15:00,23
1101,2019-01-30,18:30:00,24
1102,2019-01-30,18:45:00,19
1103,2019-01-30,19:00:00,14
1104,2019-01-30,19:15:00,14
1105,2019-01-30,19:30:00,12
1106,2019-01-30,19:45:00,6
1107,2019-01-30,20:00:00,12
1108,2019-01-30,20:15:00,3
1109,2019-01-30,20:30:00,2
1110,2019-01-30,20:45:00,1
1111,2019-01-30,21:00:00,1
1112,2019-01-31,07:00:00,9
1113,2019-01-31,07:15:00,11
1114,2019-01-31,07:30:00,14
1115,2019-01-31,07:45:00,21
1116,2019-01-31,08:00:00,29
1117,2019-01-31,08:15:00,32
1118,2019-01-31,08:30:00,20
1119,2019-01-31,08:45:00,30
1120,2019-01-31,09:00:00,41
1121,2019-01-31,09:15:00,58
1122,2019-01-31,09:30:00,57
1123,2019-01-31,09:45:00,53
1124,2019-01-31,10:00:00,75
1125,2019-01-31,10:15:00,75
1126,2019-01-31,10:30:00,77
1127,2019-01-31,10:45:00,50
1128,2019-01-31,11:00:00,58
1129,2019-01-31,11:15:00,62
1130,2019-01-31,11:30:00,88
1131,2019-01-31,11:45:00,73
1132,2019-01-31,12:00:00,72
1133,2019-01-31,12:15:00,86
1134,2019-01-31,12:30:00,92
1135,2019-01-31,12:45:00,76
1136,2019-01-31,13:00:00,71
1137,2019-01-31,13:15:00,80
1138,2019-01-31,13:30:00,71
1139,2019-01-31,13:45:00,71
1140,2019-01-31,14:00:00,57
1141,2019-01-31,14:15:00,66
1142,2019-01-31,14:30:00,80
1143,2019-01-31,14:45:00,52
1144,2019-01-31,15:00:00,65
1145,2019-01-31,15:15:00,68
1146,2019-01-31,15:30:00,58
1147,2019-01-31,15:45:00,50
1148,2019-01-31,16:00:00,50
1149,2019-01-31,16:15:00,45
1150,2019-01-31,16:30:00,45
1151,2019-01-31,16:45:00,39
1152,2019-01-31,17:00:00,20
1153,2019-01-31,17:15:00,32
1154,2019-01-31,17:30:00,31
1155,2019-01-31,17:45:00,18
1156,2019-01-31,18:00:00,15
1157,2019-01-31,18:15:00,19
1158,2019-01-31,18:30:00,9
1159,2019-01-31,18:45:00,15
1160,2019-01-31,19:00:00,10
1161,2019-01-31,19:15:00,8
1162,2019-01-31,19:30:00,9
1163,2019-01-31,19:45:00,1
1164,2019-01-31,20:00:00,6
1165,2019-01-31,20:15:00,2
1166,2019-01-31,20:30:00,5
1167,2019-01-31,20:45:00,4
1168,2019-02-01,07:00:00,14
1169,2019-02-01,07:15:00,17
1170,2019-02-01,07:30:00,14
1171,2019-02-01,07:45:00,18
1172,2019-02-01,08:00:00,27
1173,2019-02-01,08:15:00,27
1174,2019-02-01,08:30:00,13
1175,2019-02-01,08:45:00,20
1176,2019-02-01,09:00:00,41
1177,2019-02-01,09:15:00,79
1178,2019-02-01,09:30:00,58
1179,2019-02-01,09:45:00,48
1180,2019-02-01,10:00:00,57
1181,2019-02-01,10:15:00,77
1182,2019-02-01,10:30:00,86
1183,2019-02-01,10:45:00,54
1184,2019-02-01,11:00:00,54
1185,2019-02-01,11:15:00,74
1186,2019-02-01,11:30:00,81
1187,2019-02-01,11:45:00,50
1188,2019-02-01,12:00:00,61
1189,2019-02-01,12:15:00,88
1190,2019-02-01,12:30:00,88
1191,2019-02-01,12:45:00,67
1192,2019-02-01,13:00:00,63
1193,2019-02-01,13:15:00,87
1194,2019-02-01,13:30:00,65
1195,2019-02-01,13:45:00,48
1196,2019-02-01,14:00:00,53
1197,2019-02-01,14:15:00,59
1198,2019-02-01,14:30:00,45
1199,2019-02-01,14:45:00,23
1200,2019-02-01,15:00:00,39
1201,2019-02-01,15:15:00,51
1202,2019-02-01,15:30:00,48
1203,2019-02-01,15:45:00,34
1204,2019-02-01,16:00:00,22
1205,2019-02-01,16:15:00,21
1206,2019-02-01,16:30:00,27
1207,2019-02-01,16:45:00,22
1208,2019-02-01,17:00:00,14
1209,2019-02-01,17:15:00,12
1210,2019-02-01,17:30:00,8
1211,2019-02-01,17:45:00,19
1212,2019-02-01,18:00:00,8
1213,2019-02-01,18:15:00,7
1214,2019-02-01,18:30:00,9
1215,2019-02-01,18:45:00,4
1216,2019-02-01,19:00:00,7
1217,2019-02-01,19:15:00,2
1218,2019-02-01,19:30:00,3
1219,2019-02-01,19:45:00,6
1220,2019-02-01,20:15:00,2
1221,2019-02-01,20:30:00,1
1222,2019-02-02,07:45:00,2
1223,2019-02-02,08:00:00,3
1224,2019-02-02,08:15:00,5
1225,2019-02-02,08:30:00,6
1226,2019-02-02,08:45:00,2
1227,2019-02-02,09:00:00,4
1228,2019-02-02,09:15:00,1
1229,2019-02-02,09:30:00,3
1230,2019-02-02,09:45:00,4
1231,2019-02-02,10:00:00,7
1232,2019-02-02,10:15:00,7
1233,2019-02-02,10:30:00,3
1234,2019-02-02,10:45:00,5
1235,2019-02-02,11:00:00,5
1236,2019-02-02,11:15:00,5
1237,2019-02-02,11:30:00,5
1238,2019-02-02,11:45:00,19
1239,2019-02-02,12:00:00,22
1240,2019-02-02,12:15:00,8
1241,2019-02-02,12:30:00,10
1242,2019-02-02,12:45:00,4
1243,2019-02-02,13:00:00,13
1244,2019-02-02,13:15:00,7
1245,2019-02-02,13:30:00,10
1246,2019-02-02,13:45:00,2
1247,2019-02-02,14:00:00,10
1248,2019-02-02,14:15:00,5
1249,2019-02-02,14:30:00,13
1250,2019-02-02,14:45:00,6
1251,2019-02-02,15:00:00,6
1252,2019-02-02,15:15:00,6
1253,2019-02-02,15:30:00,8
1254,2019-02-02,15:45:00,4
1255,2019-02-02,16:00:00,8
1256,2019-02-02,16:15:00,3
1257,2019-02-02,16:30:00,5
1258,2019-02-02,16:45:00,9
1259,2019-02-02,17:00:00,8
1260,2019-02-02,17:15:00,4
1261,2019-02-02,17:30:00,2
1262,2019-02-02,17:45:00,2
1263,2019-02-02,18:00:00,4
1264,2019-02-02,18:15:00,1
1265,2019-02-02,18:30:00,3
1266,2019-02-02,18:45:00,1
1267,2019-02-02,19:15:00,1
1268,2019-02-02,19:30:00,2
1269,2019-02-02,19:45:00,2
1270,2019-02-02,20:00:00,9
1271,2019-02-06,07:00:00,4
1272,2019-02-06,07:15:00,6
1273,2019-02-06,07:30:00,12
1274,2019-02-06,07:45:00,22
1275,2019-02-06,08:00:00,24
1276,2019-02-06,08:15:00,18
1277,2019-02-06,08:30:00,25
1278,2019-02-06,08:45:00,24
1279,2019-02-06,09:00:00,40
1280,2019-02-06,09:15:00,55
1281,2019-02-06,09:30:00,72
1282,2019-02-06,09:45:00,44
1283,2019-02-06,10:00:00,60
1284,2019-02-06,10:15:00,81
1285,2019-02-06,10:30:00,86
1286,2019-02-06,10:45:00,53
1287,2019-02-06,11:00:00,54
1288,2019-02-06,11:15:00,82
1289,2019-02-06,11:30:00,98
1290,2019-02-06,11:45:00,68
1291,2019-02-06,12:00:00,79
1292,2019-02-06,12:15:00,98
1293,2019-02-06,12:30:00,133
1294,2019-02-06,12:45:00,68
1295,2019-02-06,13:00:00,80
1296,2019-02-06,13:15:00,94
1297,2019-02-06,13:30:00,106
1298,2019-02-06,13:45:00,65
1299,2019-02-06,14:00:00,60
1300,2019-02-06,14:15:00,69
1301,2019-02-06,14:30:00,75
1302,2019-02-06,14:45:00,69
1303,2019-02-06,15:00:00,58
1304,2019-02-06,15:15:00,51
1305,2019-02-06,15:30:00,63
1306,2019-02-06,15:45:00,39
1307,2019-02-06,16:00:00,40
1308,2019-02-06,16:15:00,37
1309,2019-02-06,16:30:00,47
1310,2019-02-06,16:45:00,47
1311,2019-02-06,17:00:00,44
1312,2019-02-06,17:15:00,42
1313,2019-02-06,17:30:00,39
1314,2019-02-06,17:45:00,28
1315,2019-02-06,18:00:00,16
1316,2019-02-06,18:15:00,16
1317,2019-02-06,18:30:00,18
1318,2019-02-06,18:45:00,12
1319,2019-02-06,19:00:00,5
1320,2019-02-06,19:15:00,11
1321,2019-02-06,19:30:00,13
1322,2019-02-06,19:45:00,4
1323,2019-02-06,20:00:00,15
1324,2019-02-06,20:15:00,4
1325,2019-02-06,20:30:00,3
1326,2019-02-06,20:45:00,2
1327,2019-02-06,21:00:00,1
1328,2019-02-07,06:30:00,4
1329,2019-02-07,07:00:00,3
1330,2019-02-07,07:15:00,9
1331,2019-02-07,07:30:00,18
1332,2019-02-07,07:45:00,14
1333,2019-02-07,08:00:00,28
1334,2019-02-07,08:15:00,30
1335,2019-02-07,08:30:00,16
1336,2019-02-07,08:45:00,19
1337,2019-02-07,09:00:00,34
1338,2019-02-07,09:15:00,47
1339,2019-02-07,09:30:00,58
1340,2019-02-07,09:45:00,58
1341,2019-02-07,10:00:00,66
1342,2019-02-07,10:15:00,94
1343,2019-02-07,10:30:00,69
1344,2019-02-07,10:45:00,50
1345,2019-02-07,11:00:00,63
1346,2019-02-07,11:15:00,82
1347,2019-02-07,11:30:00,71
1348,2019-02-07,11:45:00,82
1349,2019-02-07,12:00:00,82
1350,2019-02-07,12:15:00,80
1351,2019-02-07,12:30:00,116
1352,2019-02-07,12:45:00,72
1353,2019-02-07,13:00:00,72
1354,2019-02-07,13:15:00,77
1355,2019-02-07,13:30:00,70
1356,2019-02-07,13:45:00,67
1357,2019-02-07,14:00:00,58
1358,2019-02-07,14:15:00,78
1359,2019-02-07,14:30:00,66
1360,2019-02-07,14:45:00,60
1361,2019-02-07,15:00:00,63
1362,2019-02-07,15:15:00,66
1363,2019-02-07,15:30:00,43
1364,2019-02-07,15:45:00,49
1365,2019-02-07,16:00:00,42
1366,2019-02-07,16:15:00,41
1367,2019-02-07,16:30:00,54
1368,2019-02-07,16:45:00,30
1369,2019-02-07,17:00:00,43
1370,2019-02-07,17:15:00,31
1371,2019-02-07,17:30:00,21
1372,2019-02-07,17:45:00,22
1373,2019-02-07,18:00:00,18
1374,2019-02-07,18:15:00,10
1375,2019-02-07,18:30:00,6
1376,2019-02-07,18:45:00,13
1377,2019-02-07,19:00:00,8
1378,2019-02-07,19:15:00,4
1379,2019-02-07,19:30:00,7
1380,2019-02-07,19:45:00,2
1381,2019-02-07,20:00:00,4
1382,2019-02-07,20:15:00,6
1383,2019-02-07,20:30:00,4
1384,2019-02-07,20:45:00,2
1385,2019-02-08,06:30:00,3
1386,2019-02-08,07:00:00,4
1387,2019-02-08,07:15:00,8
1388,2019-02-08,07:30:00,9
1389,2019-02-08,07:45:00,15
1390,2019-02-08,08:00:00,16
1391,2019-02-08,08:15:00,22
1392,2019-02-08,08:30:00,24
1393,2019-02-08,08:45:00,24
1394,2019-02-08,09:00:00,21
1395,2019-02-08,09:15:00,58
1396,2019-02-08,09:30:00,42
1397,2019-02-08,09:45:00,19
1398,2019-02-08,10:00:00,22
1399,2019-02-08,10:15:00,56
1400,2019-02-08,10:30:00,65
1401,2019-02-08,10:45:00,31
1402,2019-02-08,11:00:00,36
1403,2019-02-08,11:15:00,54
1404,2019-02-08,11:30:00,31
1405,2019-02-13,07:15:00,1
1406,2019-02-13,08:45:00,2
1407,2019-02-13,09:00:00,7
1408,2019-02-13,09:15:00,18
1409,2019-02-13,09:30:00,49
1410,2019-02-13,09:45:00,54
1411,2019-02-13,10:00:00,50
1412,2019-02-13,10:15:00,87
1413,2019-02-13,10:30:00,87
1414,2019-02-13,10:45:00,51
1415,2019-02-13,11:00:00,58
1416,2019-02-13,11:15:00,85
1417,2019-02-13,11:30:00,94
1418,2019-02-13,11:45:00,76
1419,2019-02-13,12:00:00,81
1420,2019-02-13,12:15:00,84
1421,2019-02-13,12:30:00,127
1422,2019-02-13,12:45:00,70
1423,2019-02-13,13:00:00,91
1424,2019-02-13,13:15:00,86
1425,2019-02-13,13:30:00,69
1426,2019-02-13,13:45:00,69
1427,2019-02-13,14:00:00,64
1428,2019-02-13,14:15:00,82
1429,2019-02-13,14:30:00,71
1430,2019-02-13,14:45:00,54
1431,2019-02-13,15:00:00,55
1432,2019-02-13,15:15:00,71
1433,2019-02-13,15:30:00,63
1434,2019-02-13,15:45:00,42
1435,2019-02-13,16:00:00,38
1436,2019-02-13,16:15:00,44
1437,2019-02-13,16:30:00,55
1438,2019-02-13,16:45:00,35
1439,2019-02-13,17:00:00,35
1440,2019-02-13,17:15:00,26
1441,2019-02-13,17:30:00,41
1442,2019-02-13,17:45:00,20
1443,2019-02-13,18:00:00,18
1444,2019-02-13,18:15:00,16
1445,2019-02-13,18:30:00,16
1446,2019-02-13,18:45:00,10
1447,2019-02-13,19:00:00,10
1448,2019-02-13,19:15:00,13
1449,2019-02-13,19:30:00,6
1450,2019-02-13,19:45:00,1
1451,2019-02-13,20:00:00,8
1452,2019-02-13,20:15:00,1
1453,2019-02-13,20:30:00,3
1454,2019-02-13,20:45:00,2
1455,2019-02-13,21:00:00,1
1456,2019-02-14,07:00:00,6
1457,2019-02-14,07:15:00,9
1458,2019-02-14,07:30:00,8
1459,2019-02-14,07:45:00,21
1460,2019-02-14,08:00:00,30
1461,2019-02-14,08:15:00,34
1462,2019-02-14,08:30:00,19
1463,2019-02-14,08:45:00,24
1464,2019-02-14,09:00:00,36
1465,2019-02-14,09:15:00,64
1466,2019-02-14,09:30:00,60
1467,2019-02-14,09:45:00,66
1468,2019-02-14,10:00:00,55
1469,2019-02-14,10:15:00,98
1470,2019-02-14,10:30:00,73
1471,2019-02-14,10:45:00,54
1472,2019-02-14,11:00:00,43
1473,2019-02-14,11:15:00,69
1474,2019-02-14,11:30:00,83
1475,2019-02-14,11:45:00,64
1476,2019-02-14,12:00:00,45
1477,2019-02-14,12:15:00,92
1478,2019-02-14,12:30:00,72
1479,2019-02-14,12:45:00,89
1480,2019-02-14,13:00:00,85
1481,2019-02-14,13:15:00,63
1482,2019-02-14,13:30:00,77
1483,2019-02-14,13:45:00,55
1484,2019-02-14,14:00:00,69
1485,2019-02-14,14:15:00,72
1486,2019-02-14,14:30:00,67
1487,2019-02-14,14:45:00,44
1488,2019-02-14,15:00:00,49
1489,2019-02-14,15:15:00,59
1490,2019-02-14,15:30:00,58
1491,2019-02-14,15:45:00,40
1492,2019-02-14,16:00:00,35
1493,2019-02-14,16:15:00,50
1494,2019-02-14,16:30:00,30
1495,2019-02-14,16:45:00,31
1496,2019-02-14,17:00:00,30
1497,2019-02-14,17:15:00,28
1498,2019-02-14,17:30:00,26
1499,2019-02-14,17:45:00,17
1500,2019-02-14,18:00:00,15
1501,2019-02-14,18:15:00,10
1502,2019-02-14,18:30:00,5
1503,2019-02-14,18:45:00,9
1504,2019-02-14,19:00:00,7
1505,2019-02-14,19:15:00,12
1506,2019-02-14,19:30:00,4
1507,2019-02-14,19:45:00,6
1508,2019-02-14,20:00:00,4
1509,2019-02-14,20:15:00,2
1510,2019-02-14,20:30:00,4
1511,2019-02-14,20:45:00,2
1512,2019-02-15,06:15:00,3
1513,2019-02-15,06:30:00,1
1514,2019-02-15,07:00:00,2
1515,2019-02-15,07:15:00,11
1516,2019-02-15,07:30:00,14
1517,2019-02-15,07:45:00,30
1518,2019-02-15,08:00:00,25
1519,2019-02-15,08:15:00,26
1520,2019-02-15,08:30:00,21
1521,2019-02-15,08:45:00,21
1522,2019-02-15,09:00:00,36
1523,2019-02-15,09:15:00,69
1524,2019-02-15,09:30:00,55
1525,2019-02-15,09:45:00,37
1526,2019-02-15,10:00:00,49
1527,2019-02-15,10:15:00,69
1528,2019-02-15,10:30:00,85
1529,2019-02-15,10:45:00,40
1530,2019-02-15,11:00:00,46
1531,2019-02-15,11:15:00,74
1532,2019-02-15,11:30:00,78
1533,2019-02-15,11:45:00,51
1534,2019-02-15,12:00:00,67
1535,2019-02-15,12:15:00,69
1536,2019-02-15,12:30:00,80
1537,2019-02-15,12:45:00,62
1538,2019-02-15,13:00:00,56
1539,2019-02-15,13:15:00,77
1540,2019-02-15,13:30:00,54
1541,2019-02-15,13:45:00,41
1542,2019-02-15,14:00:00,60
1543,2019-02-15,14:15:00,54
1544,2019-02-15,14:30:00,45
1545,2019-02-15,14:45:00,24
1546,2019-02-15,15:00:00,31
1547,2019-02-15,15:15:00,39
1548,2019-02-15,15:30:00,44
1549,2019-02-15,15:45:00,20
1550,2019-02-15,16:00:00,17
1551,2019-02-15,16:15:00,26
1552,2019-02-15,16:30:00,25
1553,2019-02-15,16:45:00,18
1554,2019-02-15,17:00:00,16
1555,2019-02-15,17:15:00,15
1556,2019-02-15,17:30:00,11
1557,2019-02-15,17:45:00,25
1558,2019-02-15,18:00:00,11
1559,2019-02-15,18:15:00,16
1560,2019-02-15,18:30:00,5
1561,2019-02-15,18:45:00,9
1562,2019-02-15,19:00:00,4
1563,2019-02-15,19:15:00,5
1564,2019-02-15,19:30:00,2
1565,2019-02-15,19:45:00,7
1566,2019-02-15,20:00:00,1
1567,2019-02-15,20:15:00,2
1568,2019-02-16,08:00:00,2
1569,2019-02-16,08:30:00,1
1570,2019-02-16,08:45:00,3
1571,2019-02-16,09:00:00,1
1572,2019-02-16,09:15:00,2
1573,2019-02-16,09:30:00,4
1574,2019-02-16,09:45:00,2
1575,2019-02-16,10:00:00,2
1576,2019-02-16,10:15:00,4
1577,2019-02-16,10:30:00,4
1578,2019-02-16,10:45:00,2
1579,2019-02-16,11:00:00,6
1580,2019-02-16,11:15:00,8
1581,2019-02-16,11:30:00,1
1582,2019-02-16,11:45:00,9
1583,2019-02-16,12:00:00,25
1584,2019-02-16,12:15:00,5
1585,2019-02-16,12:30:00,15
1586,2019-02-16,12:45:00,6
1587,2019-02-16,13:00:00,7
1588,2019-02-16,13:15:00,3
1589,2019-02-16,13:30:00,5
1590,2019-02-16,13:45:00,4
1591,2019-02-16,14:00:00,9
1592,2019-02-16,14:15:00,3
1593,2019-02-16,14:30:00,5
1594,2019-02-16,14:45:00,4
1595,2019-02-16,15:00:00,4
1596,2019-02-16,15:15:00,6
1597,2019-02-16,15:30:00,3
1598,2019-02-16,15:45:00,7
1599,2019-02-16,16:00:00,6
1600,2019-02-16,16:15:00,4
1601,2019-02-16,16:30:00,3
1602,2019-02-16,16:45:00,2
1603,2019-02-16,17:00:00,8
1604,2019-02-16,17:15:00,4
